ID,Date,Game,Earnings,Players,Tournaments
5458,2019-08-01,Ultra Fight Da! Kyanta 2,320.0,3,1
5459,2019-08-01,Dengeki Bunko: Fighting Climax Ignition,315.0,3,1
5460,2019-08-01,Persona 4 Arena Ultimax,300.0,3,1
5461,2019-08-01,Guilty Gear XX Accent Core Plus R,280.0,3,1
5462,2019-08-01,Street Fighter III: 3rd Strike,279.92,3,1
5463,2019-08-01,Koihime Enbu,255.0,3,1
5464,2019-08-01,Sailor Moon S,250.0,4,1
5465,2019-08-01,Garou: Mark of the Wolves,225.0,3,1
5466,2019-08-01,Fighter's History Dynamite,195.0,3,1
5467,2019-08-01,Catherine: Full Body,185.0,3,1
5468,2019-08-01,Catherine,180.0,3,1
5469,2019-08-01,Tatsunoko vs. Capcom: Ultimate All-Stars,180.0,3,1
5470,2019-08-01,Puyo Puyo Champions,175.0,3,1
5471,2019-08-01,Project Justice,165.0,3,1
5472,2019-08-01,ARMS,150.0,4,1
5473,2019-08-01,Nitroplus Blasterz: Heroines Infinite Duel,150.0,3,1
5474,2019-08-01,Hokuto no Ken,145.0,3,1
5475,2019-08-01,Age of Empires,125.0,2,1
5476,2019-08-01,Arcana Heart 3: Love Max Six Stars!!!!!,110.0,3,1
5477,2019-08-01,Rivals of Aether,105.0,3,1
5478,2019-08-01,Pokkén Tournament DX,95.0,3,1
5479,2019-08-01,Umineko: Golden Fantasia,90.0,3,1
5480,2019-08-01,Aquapazza: Aquaplus Dream Match,85.0,3,1
5481,2019-08-01,Guilty Gear,32.0,3,1
5482,2019-08-01,Yu-Gi-Oh! Duel Links,20.0,1,1
5483,2019-09-01,Fortnite,8742028.96,1039,80
5484,2019-09-01,Overwatch,3811048.85,212,5
5485,2019-09-01,Counter-Strike: Global Offensive,2542981.72,885,70
5486,2019-09-01,League of Legends,1470600.48,513,20
5487,2019-09-01,Apex Legends,1050001.0,150,3
5488,2019-09-01,PLAYERUNKNOWNS BATTLEGROUNDS,603429.59,210,5
5489,2019-09-01,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,424692.36,153,3
5490,2019-09-01,Dota 2,409516.84,304,33
5491,2019-09-01,StarCraft II,258435.77,115,26
5492,2019-09-01,Street Fighter V: Arcade Edition,155052.53,47,8
5493,2019-09-01,Teamfight Tactics,125000.0,52,2
5494,2019-09-01,iRacing.com,105470.0,20,3
5495,2019-09-01,Free Fire,93000.0,5,2
5496,2019-09-01,Heroes of the Storm,80592.0,0,1
5497,2019-09-01,Tekken 7,78958.8,59,16
5498,2019-09-01,Shadowverse,71213.49,32,4
5499,2019-09-01,StarCraft: Brood War,67040.0,28,1
5500,2019-09-01,Super Smash Bros. Ultimate,52190.16,268,66
5501,2019-09-01,Borderlands 3,50000.0,16,1
5502,2019-09-01,Halo 3,50000.0,32,1
5503,2019-09-01,Rainbow Six Siege,44527.61,128,4
5504,2019-09-01,Brawlhalla,40031.5,53,5
5505,2019-09-01,Auto Chess,40000.0,12,2
5506,2019-09-01,Mortal Kombat 11,33859.1,38,6
5507,2019-09-01,Assetto Corsa,33722.8,18,4
5508,2019-09-01,Asphalt 9: Legends,31900.0,4,1
5509,2019-09-01,Farming Simulator 19,26393.43,40,2
5510,2019-09-01,Hearthstone,26106.11,26,3
